,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,240.0,38.0,72.0,0.528,16.0,37.0,0.432,18.0,21.0,0.857,4.0,33.0,37.0,27.0,7.0,2.0,18.0,16.0,110.0,,0.677,0.639,0.514,0.292,12.9,86.8,53.6,71.1,7.5,4.4,18.1,100.0,117.3,114.1,,,9.0,20.0,1.0,5.0,12.0,1.0,8.0,9.0,1.0,1.0,10.0,11.0,8.0,2.0,1.0,5.0,3.0,25.0,15.0,1.25,1.25,1.0,1.4,12.9,44.1,26.7,30.6,3.9,8.1,41.0,37.3,160.0,121.0,POR,110,0,1,240.0,240.0,40.0,84.0,0.476,14.0,39.0,0.359,13.0,15.0,0.867,5.0,27.0,32.0,28.0,11.0,2.0,10.0,18.0,107.0,,0.591,0.56,0.464,0.179,13.2,87.1,46.4,70.0,11.7,5.7,9.9,100.0,114.1,117.3,,,8.0,14.0,0.625,4.0,9.0,0.667,6.0,6.0,1.0,3.0,7.0,7.0,8.0,6.0,1.0,3.0,5.0,16.0,2.0,0.889,0.875,1.0,0.8,10.9,63.6,28.6,33.4,9.2,4.1,26.2,26.8,155.0,123.0,MIA,107,1,2023,2022-11-07,True
1,240.0,240.0,40.0,84.0,0.476,14.0,39.0,0.359,13.0,15.0,0.867,5.0,27.0,32.0,28.0,11.0,2.0,10.0,18.0,107.0,,0.591,0.56,0.464,0.179,13.2,87.1,46.4,70.0,11.7,5.7,9.9,100.0,114.1,117.3,,,8.0,14.0,0.625,4.0,9.0,0.667,6.0,6.0,1.0,3.0,7.0,7.0,8.0,6.0,1.0,3.0,5.0,16.0,2.0,0.889,0.875,1.0,0.8,10.9,63.6,28.6,33.4,9.2,4.1,26.2,26.8,155.0,123.0,MIA,107,1,0,240.0,240.0,38.0,72.0,0.528,16.0,37.0,0.432,18.0,21.0,0.857,4.0,33.0,37.0,27.0,7.0,2.0,18.0,16.0,110.0,,0.677,0.639,0.514,0.292,12.9,86.8,53.6,71.1,7.5,4.4,18.1,100.0,117.3,114.1,,,9.0,20.0,1.0,5.0,12.0,1.0,8.0,9.0,1.0,1.0,10.0,11.0,8.0,2.0,1.0,5.0,3.0,25.0,15.0,1.25,1.25,1.0,1.4,12.9,44.1,26.7,30.6,3.9,8.1,41.0,37.3,160.0,121.0,POR,110,0,2023,2022-11-07,False
2,240.0,240.0,41.0,78.0,0.526,8.0,24.0,0.333,15.0,19.0,0.789,5.0,38.0,43.0,26.0,5.0,2.0,6.0,20.0,105.0,,0.608,0.577,0.308,0.244,15.6,86.4,56.6,63.4,5.7,5.6,6.5,100.0,119.8,102.7,,,13.0,20.0,0.857,6.0,9.0,0.667,4.0,6.0,1.0,2.0,11.0,11.0,6.0,2.0,1.0,3.0,5.0,34.0,22.0,0.888,0.857,0.5,0.6,14.7,54.4,35.5,24.1,3.2,100.0,12.6,33.0,183.0,110.0,CLE,105,0,1,240.0,240.0,29.0,74.0,0.392,13.0,38.0,0.342,19.0,26.0,0.731,6.0,27.0,33.0,17.0,2.0,3.0,12.0,15.0,90.0,,0.527,0.48,0.514,0.351,13.6,84.4,43.4,58.6,2.3,5.6,12.3,100.0,102.7,119.8,,,9.0,23.0,0.667,4.0,8.0,0.6,10.0,11.0,1.0,2.0,6.0,7.0,7.0,1.0,1.0,5.0,4.0,30.0,10.0,1.136,0.917,1.0,1.5,42.5,58.4,24.6,64.5,1.8,3.5,28.6,41.1,250.0,125.0,DAL,90,1,2023,2022-12-14,True
3,240.0,240.0,29.0,74.0,0.392,13.0,38.0,0.342,19.0,26.0,0.731,6.0,27.0,33.0,17.0,2.0,3.0,12.0,15.0,90.0,,0.527,0.48,0.514,0.351,13.6,84.4,43.4,58.6,2.3,5.6,12.3,100.0,102.7,119.8,,,9.0,23.0,0.667,4.0,8.0,0.6,10.0,11.0,1.0,2.0,6.0,7.0,7.0,1.0,1.0,5.0,4.0,30.0,10.0,1.136,0.917,1.0,1.5,42.5,58.4,24.6,64.5,1.8,3.5,28.6,41.1,250.0,125.0,DAL,90,1,0,240.0,240.0,41.0,78.0,0.526,8.0,24.0,0.333,15.0,19.0,0.789,5.0,38.0,43.0,26.0,5.0,2.0,6.0,20.0,105.0,,0.608,0.577,0.308,0.244,15.6,86.4,56.6,63.4,5.7,5.6,6.5,100.0,119.8,102.7,,,13.0,20.0,0.857,6.0,9.0,0.667,4.0,6.0,1.0,2.0,11.0,11.0,6.0,2.0,1.0,3.0,5.0,34.0,22.0,0.888,0.857,0.5,0.6,14.7,54.4,35.5,24.1,3.2,100.0,12.6,33.0,183.0,110.0,CLE,105,0,2023,2022-12-14,False
4,240.0,240.0,37.0,87.0,0.425,7.0,33.0,0.212,32.0,35.0,0.914,10.0,36.0,46.0,16.0,6.0,3.0,15.0,17.0,113.0,,0.552,0.466,0.379,0.402,21.3,67.9,46.0,43.2,5.7,4.8,12.8,100.0,107.1,119.4,,,6.0,16.0,0.8,2.0,7.0,0.333,10.0,10.0,1.0,4.0,6.0,10.0,4.0,3.0,2.0,5.0,3.0,18.0,5.0,0.851,0.8,0.6,2.0,16.2,21.5,19.0,24.0,6.5,4.8,25.8,30.7,168.0,127.0,LAL,113,0,1,240.0,240.0,47.0,106.0,0.443,12.0,43.0,0.279,20.0,24.0,0.833,17.0,37.0,54.0,25.0,10.0,5.0,11.0,22.0,126.0,,0.54,0.5,0.406,0.226,32.1,78.7,54.0,53.2,9.5,9.3,8.6,100.0,119.4,107.1,,,10.0,20.0,0.636,3.0,12.0,1.0,6.0,6.0,1.0,5.0,12.0,17.0,7.0,3.0,4.0,3.0,6.0,25.0,22.0,0.727,0.727,1.0,0.667,18.7,44.1,26.1,44.1,11.4,16.4,20.0,32.3,226.0,117.0,TOR,126,1,2023,2022-12-07,False
5,240.0,240.0,47.0,106.0,0.443,12.0,43.0,0.279,20.0,24.0,0.833,17.0,37.0,54.0,25.0,10.0,5.0,11.0,22.0,126.0,,0.54,0.5,0.406,0.226,32.1,78.7,54.0,53.2,9.5,9.3,8.6,100.0,119.4,107.1,,,10.0,20.0,0.636,3.0,12.0,1.0,6.0,6.0,1.0,5.0,12.0,17.0,7.0,3.0,4.0,3.0,6.0,25.0,22.0,0.727,0.727,1.0,0.667,18.7,44.1,26.1,44.1,11.4,16.4,20.0,32.3,226.0,117.0,TOR,126,1,0,240.0,240.0,37.0,87.0,0.425,7.0,33.0,0.212,32.0,35.0,0.914,10.0,36.0,46.0,16.0,6.0,3.0,15.0,17.0,113.0,,0.552,0.466,0.379,0.402,21.3,67.9,46.0,43.2,5.7,4.8,12.8,100.0,107.1,119.4,,,6.0,16.0,0.8,2.0,7.0,0.333,10.0,10.0,1.0,4.0,6.0,10.0,4.0,3.0,2.0,5.0,3.0,18.0,5.0,0.851,0.8,0.6,2.0,16.2,21.5,19.0,24.0,6.5,4.8,25.8,30.7,168.0,127.0,LAL,113,0,2023,2022-12-07,True
6,240.0,240.0,43.0,83.0,0.518,15.0,37.0,0.405,17.0,23.0,0.739,7.0,32.0,39.0,31.0,6.0,1.0,13.0,24.0,118.0,,0.634,0.608,0.446,0.277,18.9,82.1,51.3,72.1,6.3,2.2,12.3,100.0,123.7,115.3,,,14.0,26.0,1.0,5.0,11.0,1.0,8.0,8.0,1.0,2.0,14.0,14.0,12.0,2.0,1.0,4.0,5.0,41.0,21.0,1.163,1.167,1.0,1.0,17.4,44.2,22.7,47.0,2.9,2.7,25.8,36.6,236.0,122.0,BOS,118,0,1,240.0,240.0,39.0,79.0,0.494,15.0,33.0,0.455,17.0,26.0,0.654,7.0,30.0,37.0,28.0,6.0,3.0,12.0,21.0,110.0,,0.608,0.589,0.418,0.329,17.9,81.1,48.7,71.8,6.3,6.5,11.7,100.0,115.3,123.7,,,10.0,20.0,0.8,4.0,8.0,1.0,4.0,6.0,1.0,2.0,6.0,8.0,8.0,2.0,2.0,3.0,5.0,27.0,4.0,1.125,1.125,1.0,1.2,28.8,30.3,29.5,43.1,6.0,7.3,50.0,32.5,209.0,129.0,BRK,110,1,2024,2024-02-13,True
7,240.0,240.0,39.0,79.0,0.494,15.0,33.0,0.455,17.0,26.0,0.654,7.0,30.0,37.0,28.0,6.0,3.0,12.0,21.0,110.0,,0.608,0.589,0.418,0.329,17.9,81.1,48.7,71.8,6.3,6.5,11.7,100.0,115.3,123.7,,,10.0,20.0,0.8,4.0,8.0,1.0,4.0,6.0,1.0,2.0,6.0,8.0,8.0,2.0,2.0,3.0,5.0,27.0,4.0,1.125,1.125,1.0,1.2,28.8,30.3,29.5,43.1,6.0,7.3,50.0,32.5,209.0,129.0,BRK,110,1,0,240.0,240.0,43.0,83.0,0.518,15.0,37.0,0.405,17.0,23.0,0.739,7.0,32.0,39.0,31.0,6.0,1.0,13.0,24.0,118.0,,0.634,0.608,0.446,0.277,18.9,82.1,51.3,72.1,6.3,2.2,12.3,100.0,123.7,115.3,,,14.0,26.0,1.0,5.0,11.0,1.0,8.0,8.0,1.0,2.0,14.0,14.0,12.0,2.0,1.0,4.0,5.0,41.0,21.0,1.163,1.167,1.0,1.0,17.4,44.2,22.7,47.0,2.9,2.7,25.8,36.6,236.0,122.0,BOS,118,0,2024,2024-02-13,False
8,240.0,240.0,41.0,84.0,0.488,12.0,38.0,0.316,23.0,25.0,0.92,7.0,32.0,39.0,23.0,10.0,4.0,15.0,14.0,117.0,,0.616,0.56,0.452,0.298,17.5,68.1,44.8,56.1,10.0,9.8,13.6,100.0,117.3,109.3,,,9.0,17.0,0.857,4.0,10.0,0.75,8.0,8.0,1.0,4.0,13.0,17.0,5.0,3.0,2.0,3.0,3.0,26.0,15.0,1.075,1.071,0.75,0.667,12.2,33.7,23.8,20.8,5.2,6.0,22.7,23.7,170.0,121.0,MIA,117,0,1,240.0,240.0,38.0,87.0,0.437,18.0,46.0,0.391,15.0,18.0,0.833,15.0,33.0,48.0,23.0,6.0,6.0,21.0,19.0,109.0,,0.574,0.54,0.529,0.207,31.9,82.5,55.2,60.5,6.0,13.0,18.1,100.0,109.3,117.3,,,9.0,19.0,1.0,5.0,12.0,1.0,10.0,11.0,1.0,7.0,5.0,12.0,11.0,3.0,2.0,5.0,4.0,27.0,7.0,1.215,1.5,1.0,1.0,29.9,25.1,27.7,46.9,4.1,8.7,30.8,31.1,165.0,122.0,ATL,109,1,2024,2023-11-11,True
9,240.0,240.0,38.0,87.0,0.437,18.0,46.0,0.391,15.0,18.0,0.833,15.0,33.0,48.0,23.0,6.0,6.0,21.0,19.0,109.0,,0.574,0.54,0.529,0.207,31.9,82.5,55.2,60.5,6.0,13.0,18.1,100.0,109.3,117.3,,,9.0,19.0,1.0,5.0,12.0,1.0,10.0,11.0,1.0,7.0,5.0,12.0,11.0,3.0,2.0,5.0,4.0,27.0,7.0,1.215,1.5,1.0,1.0,29.9,25.1,27.7,46.9,4.1,8.7,30.8,31.1,165.0,122.0,ATL,109,1,0,240.0,240.0,41.0,84.0,0.488,12.0,38.0,0.316,23.0,25.0,0.92,7.0,32.0,39.0,23.0,10.0,4.0,15.0,14.0,117.0,,0.616,0.56,0.452,0.298,17.5,68.1,44.8,56.1,10.0,9.8,13.6,100.0,117.3,109.3,,,9.0,17.0,0.857,4.0,10.0,0.75,8.0,8.0,1.0,4.0,13.0,17.0,5.0,3.0,2.0,3.0,3.0,26.0,15.0,1.075,1.071,0.75,0.667,12.2,33.7,23.8,20.8,5.2,6.0,22.7,23.7,170.0,121.0,MIA,117,0,2024,2023-11-11,False
